name,house_id,location,xiaoqu_address,huanxianweizhi,xiangmutese,youbian,chanquan,kaifashang,jianzhu_type,jianzhu_mianji,jianzhu_jiegou,zhandi_mianji,dangqihu_shu,loudong_shu,zonghu_shu,lvhua_lv,rongji_lv,wuye_gongsi,wuye_fee,wuye_phone,wuye_type,wuye_address,gps_x,gps_y,built_time
龙湖时代天街,shidaitianjielh028,高新西区 高新西区,高新西区合作路89号（电子科技大学清水...,：绕城以外,"地铁沿线,复合地产,教育地产",611731,龙湖时代天街普通住宅产权为70年,成都龙湖锦鸿置业有限公司,板塔结合 高层,1830000平方米,,305330平方米,1300户,31栋,9904户,30%,4.00,重庆新龙湖物业有限公司,2.80元/㎡·月,,住宅,,103.9317398071289,30.762001037597656,2018-06-01
海珀香庭小区网,haipoxiangting,武侯 红牌楼,武侯红牌楼路1号,：二至中环,豪华居住区,610047,70年产权,上海绿地集团成都公司,板楼 小高层,100000平方米,框剪,28000平方米,500户,4栋,500户,30%,3.57,第一太平戴维斯,3.20元/平米·月,028-86236370,住宅,1栋2单元1楼,104.02729797363281,30.64466667175293,2010-01-01
金地嘉年华城小区网,jianianhuachengjd,金牛 蜀汉路,金牛蜀辉路469号,：中至三环,"小户型,地铁沿线,打折优惠楼盘",610091,70年产权,成都金地房屋开发有限公司,塔楼 高层,500000平方米,框剪结构,146667平方米,1600户,12栋,3400户,35%,4.00,成都业汇物业管理有限责任公司,1.50元/平米·月,028-87562051，028-87562025,住宅,金地嘉年华B区 18栋楼底,104.01310729980469,30.703115463256836,2013-01-01
领域小区网,lingyu028,锦江 川师,锦江上沙河铺街206号,：中至三环,,610011,70年产权,成都加贝置业有限公司,板楼 多层 小高层,86864平方米,框剪,58527平方米,705户,19栋,705户,48%,1.82,小区物管,1.20元/平米·月,,住宅,,104.1426773071289,30.618009567260742,2005-01-01
名士公馆小区网,mingshigongguan028,武侯 航空路,武侯长寿路10号,：二至中环,,610042,70年,成都名士国际俱乐部有限公司,板楼 小高层,67959平方米,框剪,16990平方米,402户,10栋,402户,35%,4.00,成都勤信物业管理公司,1.70元/平米·月,028-66503662、66503663,住宅,,104.07727813720703,30.618715286254883,2003-01-01
彩叠园1B期小区网,caidieyuan1bqi,温江 光华大道,温江鹏程路801号,：绕城以外,,611139,70年产权,和记黄埔地产（成都）有限公司,塔楼 多层 高层,454100平方米,框架及框剪,141900平方米,1920户,92栋,,40%,3.20,家利物业,2.50元/平米·月,,住宅,,103.88764953613281,30.681781768798828,2013-12-31
绿杨新邨小区网,lvyangxincun,金牛 蜀汉路,金牛蜀汉路490号,：中至三环,,610036,70年,成都市天宝房地产开发有限公司,塔楼 小高层,87000平方米,框架,22000平方米,659户,7栋,659户,60%,4.95,绿杨邨物业管理公司,1.20元/平米·月,028-82963168,住宅,小区5栋1单元1楼,104.02275848388672,30.696107864379883,2002-06-30
丹桂苑小区网,danguiyuan028,高新区 中和镇,高新区朝阳路222号,：绕城以外,,610016,70年产权,成都玉屏房产开发公司,板楼 多层,77986平方米,砖混,58147平方米,612户,27栋,612户,32.80%,1.64,小区物业,1.20元/平米·月,,住宅,,104.10086822509766,30.564172744750977,2005-01-01
白鸽岛尚小区网,baigedaoshang,金牛 国宾,金牛蜀西南三路19号,：三至绕城,,610036,70年,成都市瑞阳房地产开发公司,板楼 小高层 高层,184248平方米,框剪,42537平方米,1475户,9栋,1475户,30.51%,4.33,1.50元/平米·月,1.50元/平米·月,028-69921361,住宅,门卫室,104.0015640258789,30.713869094848633,2008-01-16
通瑞月光湖,yueguanghutr,双流 牧马山,双流牧华路三段(公兴镇双黄路与牧华路交...,：绕城以外,"宜居生态地产,地铁沿线,打折优惠楼盘",610000,通瑞月光湖普通住宅产权为70年,成都通瑞永立置业有限公司,塔楼 高层,396000平方米,,86666平方米,1600户,16栋,3473户,42.60%,4.00,通瑞物业,1.60元/㎡·月,,住宅,,104.0065689086914,30.4928035736084,2013-12-01
